"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"149","[CUDA memcpy DtoH]",22528,0,4.924802,1.6288e-05,0.085941,5.152693,"Tesla K20c (0)",1,7
"150","[CUDA memcpy DtoH]",22528,0,4.924858,0.00023367,1.461002,6.105876,"Tesla K20c (0)",1,7
"151","[CUDA memcpy HtoD]",23552,0,4.890356,1.7985e-05,0.089848,4.878608,"Tesla K20c (0)",1,7
"152","[CUDA memcpy HtoD]",23552,0,4.890685,0.000259559,1.527409,5.746709,"Tesla K20c (0)",1,7
"154","[CUDA memcpy DtoH]",23552,0,4.891044,1.6801e-05,0.089844,5.222191,"Tesla K20c (0)",1,7
"155","[CUDA memcpy HtoD]",23552,0,4.891461,1.28e-06,6.484985e-05,0.049477,"Tesla K20c (0)",1,7
"156","[CUDA memcpy HtoD]",23552,0,4.891792,0.000265351,1.527409,5.621271,"Tesla K20c (0)",1,7
"157","[CUDA memcpy HtoD]",23552,0,4.89234,0.000259814,1.527409,5.741068,"Tesla K20c (0)",1,7
"159","[CUDA memcpy DtoH]",23552,0,4.892733,1.6865e-05,0.089848,5.202595,"Tesla K20c (0)",1,7
"160","[CUDA memcpy DtoH]",23552,0,4.892805,0.000243846,1.527409,6.117016,"Tesla K20c (0)",1,7
"161","[CUDA memcpy HtoD]",24576,0,4.866069,1.8944e-05,0.093754,4.833006,"Tesla K20c (0)",1,7
"162","[CUDA memcpy HtoD]",24576,0,4.866374,0.000276199,1.593815,5.635284,"Tesla K20c (0)",1,7
"164","[CUDA memcpy DtoH]",24576,0,4.866745,1.7504e-05,0.09375,5.230389,"Tesla K20c (0)",1,7
"165","[CUDA memcpy HtoD]",24576,0,4.867065,1.344e-06,6.484985e-05,0.04712,"Tesla K20c (0)",1,7
"166","[CUDA memcpy HtoD]",24576,0,4.867354,0.000274055,1.593815,5.67937,"Tesla K20c (0)",1,7
"167","[CUDA memcpy HtoD]",24576,0,4.867891,0.000274151,1.593815,5.677381,"Tesla K20c (0)",1,7
"169","[CUDA memcpy DtoH]",24576,0,4.868305,1.7568e-05,0.093754,5.211547,"Tesla K20c (0)",1,7
"170","[CUDA memcpy DtoH]",24576,0,4.868358,0.000254694,1.593815,6.111097,"Tesla K20c (0)",1,7
"171","[CUDA memcpy HtoD]",25600,0,5.00109,1.9328e-05,0.09766,4.934352,"Tesla K20c (0)",1,7
"172","[CUDA memcpy HtoD]",25600,0,5.001578,0.000417386,1.660221,3.884437,"Tesla K20c (0)",1,7
"174","[CUDA memcpy DtoH]",25600,0,5.002092,1.8112e-05,0.097656,5.265428,"Tesla K20c (0)",1,7
"175","[CUDA memcpy HtoD]",25600,0,5.002408,1.344e-06,6.484985e-05,0.04712,"Tesla K20c (0)",1,7
"176","[CUDA memcpy HtoD]",25600,0,5.002869,0.000410442,1.660221,3.950155,"Tesla K20c (0)",1,7
"177","[CUDA memcpy HtoD]",25600,0,5.003542,0.000281287,1.660221,5.763898,"Tesla K20c (0)",1,7
"179","[CUDA memcpy DtoH]",25600,0,5.003968,1.8144e-05,0.09766,5.256347,"Tesla K20c (0)",1,7
"180","[CUDA memcpy DtoH]",25600,0,5.00402,0.000264711,1.660221,6.124829,"Tesla K20c (0)",1,7
"181","[CUDA memcpy HtoD]",26624,0,4.96917,1.9873e-05,0.101566,4.990985,"Tesla K20c (0)",1,7
"182","[CUDA memcpy HtoD]",26624,0,4.969755,0.000530829,1.726627,3.176465,"Tesla K20c (0)",1,7
"184","[CUDA memcpy DtoH]",26624,0,4.970392,1.8592e-05,0.101562,5.334667,"Tesla K20c (0)",1,7
"185","[CUDA memcpy HtoD]",26624,0,4.97082,1.312e-06,6.484985e-05,0.04827,"Tesla K20c (0)",1,7
"186","[CUDA memcpy HtoD]",26624,0,4.971387,0.000529293,1.726627,3.185683,"Tesla K20c (0)",1,7
"187","[CUDA memcpy HtoD]",26624,0,4.972201,0.000330376,1.726627,5.103759,"Tesla K20c (0)",1,7
"189","[CUDA memcpy DtoH]",26624,0,4.972681,1.8721e-05,0.101566,5.298107,"Tesla K20c (0)",1,7
"190","[CUDA memcpy DtoH]",26624,0,4.972747,0.000274951,1.726627,6.132582,"Tesla K20c (0)",1,7
"191","[CUDA memcpy HtoD]",27648,0,4.882403,2.0897e-05,0.105473,4.928964,"Tesla K20c (0)",1,7
"192","[CUDA memcpy HtoD]",27648,0,4.882729,0.000382058,1.793034,4.583098,"Tesla K20c (0)",1,7
"194","[CUDA memcpy DtoH]",27648,0,4.883222,1.9328e-05,0.105469,5.328892,"Tesla K20c (0)",1,7
"195","[CUDA memcpy HtoD]",27648,0,4.883647,1.344e-06,6.484985e-05,0.04712,"Tesla K20c (0)",1,7
"196","[CUDA memcpy HtoD]",27648,0,4.883955,0.000373065,1.793034,4.693577,"Tesla K20c (0)",1,7
"197","[CUDA memcpy HtoD]",27648,0,4.884614,0.000357193,1.793034,4.902138,"Tesla K20c (0)",1,7
"199","[CUDA memcpy DtoH]",27648,0,4.885127,1.936e-05,0.105473,5.320276,"Tesla K20c (0)",1,7
"200","[CUDA memcpy DtoH]",27648,0,4.885196,0.000285543,1.793034,6.132209,"Tesla K20c (0)",1,7
"201","[CUDA memcpy HtoD]",28672,0,5.037238,2.1217e-05,0.109379,5.034418,"Tesla K20c (0)",1,7
"202","[CUDA memcpy HtoD]",28672,0,5.03783,0.000624399,1.85944,2.908171,"Tesla K20c (0)",1,7
"204","[CUDA memcpy DtoH]",28672,0,5.038566,1.9936e-05,0.109375,5.357721,"Tesla K20c (0)",1,7
"205","[CUDA memcpy HtoD]",28672,0,5.038996,1.344e-06,6.484985e-05,0.04712,"Tesla K20c (0)",1,7
"206","[CUDA memcpy HtoD]",28672,0,5.039553,0.000609327,1.85944,2.980106,"Tesla K20c (0)",1,7
"207","[CUDA memcpy HtoD]",28672,0,5.040466,0.000388105,1.85944,4.678783,"Tesla K20c (0)",1,7
"209","[CUDA memcpy DtoH]",28672,0,5.041015,1.9969e-05,0.109379,5.349053,"Tesla K20c (0)",1,7
"210","[CUDA memcpy DtoH]",28672,0,5.041081,0.000295783,1.85944,6.13916,"Tesla K20c (0)",1,7
"211","[CUDA memcpy HtoD]",29696,0,4.972735,2.2144e-05,0.113285,4.995933,"Tesla K20c (0)",1,7
"212","[CUDA memcpy HtoD]",29696,0,4.973319,0.000668401,1.925846,2.813744,"Tesla K20c (0)",1,7
"214","[CUDA memcpy DtoH]",29696,0,4.974101,2.0544e-05,0.113281,5.384843,"Tesla K20c (0)",1,7
"215","[CUDA memcpy HtoD]",29696,0,4.97455,1.344e-06,6.484985e-05,0.04712,"Tesla K20c (0)",1,7
"216","[CUDA memcpy HtoD]",29696,0,4.975114,0.000667569,1.925846,2.81725,"Tesla K20c (0)",1,7
"217","[CUDA memcpy HtoD]",29696,0,4.976067,0.000417322,1.925846,4.506614,"Tesla K20c (0)",1,7
"219","[CUDA memcpy DtoH]",29696,0,4.97665,2.0577e-05,0.113285,5.376388,"Tesla K20c (0)",1,7
"220","[CUDA memcpy DtoH]",29696,0,4.976722,0.000306312,1.925846,6.139848,"Tesla K20c (0)",1,7
"221","[CUDA memcpy HtoD]",30720,0,4.865265,2.2657e-05,0.117191,5.051183,"Tesla K20c (0)",1,7
"222","[CUDA memcpy HtoD]",30720,0,4.865854,0.000721426,1.992252,2.696824,"Tesla K20c (0)",1,7
"224","[CUDA memcpy DtoH]",30720,0,4.866694,2.1185e-05,0.117188,5.401979,"Tesla K20c (0)",1,7
"225","[CUDA memcpy HtoD]",30720,0,4.867167,1.344e-06,6.484985e-05,0.04712,"Tesla K20c (0)",1,7
"226","[CUDA memcpy HtoD]",30720,0,4.867743,0.000719314,1.992252,2.704742,"Tesla K20c (0)",1,7
"227","[CUDA memcpy HtoD]",30720,0,4.868747,0.000446603,1.992252,4.35635,"Tesla K20c (0)",1,7
"229","[CUDA memcpy DtoH]",30720,0,4.869364,2.1536e-05,0.117191,5.314109,"Tesla K20c (0)",1,7
"230","[CUDA memcpy DtoH]",30720,0,4.869438,0.000317032,1.992252,6.13679,"Tesla K20c (0)",1,7
"231","[CUDA memcpy HtoD]",31744,0,5.057249,2.3777e-05,0.121098,4.973686,"Tesla K20c (0)",1,7
"232","[CUDA memcpy HtoD]",31744,0,5.057863,0.000742258,2.058659,2.708504,"Tesla K20c (0)",1,7
"234","[CUDA memcpy DtoH]",31744,0,5.058725,2.176e-05,0.121094,5.434541,"Tesla K20c (0)",1,7
